Дата,Авиаотделение,Метеостанция,Температура,Точка_росы,Время_измерения,Осадки,Высота_снега,КППО_1,Класс_ПО_1,КППО_2,Класс_ПО_2,КППО_3,Класс_ПО_3,Пред_день,Ночь,Признак_снега
2025-08-31,Тугулымское,28443 : Богданович,14.6,9.6,14:00,0.4,0,172,1,83,1,904,1,0,0,1
2025-08-31,,28455 : Бутка,16.5,6.8,14:00,2.0,0,610,1,430,1,2247,3,1,1,1
2025-08-31,,28451 : Камышлов,15.9,7.6,14:00,0.1,0,225,1,522,1,2555,3,1,1,1
2025-08-31,,28359 : Тугулым,15.9,7.5,14:00,2.1,0,2166,3,690,1,5980,4,1,1,1
2025-08-31,,28135 : Качканар,14.2,6.7,14:00,0.0,0,602,1,307,1,471,1,1,1,1
2025-08-31,,28434 : Красноуфимск,12.4,12.4,14:00,4.0,0,0,1,40,1,1105,2,1,1,1
2025-08-31,,28438 : Михайловск,13.3,10.4,14:00,2.0,0,157,1,140,1,1306,2,1,1,1
2025-08-31,,28344 : Невьянск,14.6,8.0,14:00,0.0,0,618,1,476,1,1193,2,1,1,1
2025-08-31,,28255 : Туринск,15.4,8.6,14:00,0.0,0,394,1,535,1,3220,3,1,1,1
2025-08-31,,28334 : Шамары,14.5,10.1,14:00,0.2,0,132,1,64,1,969,1,1,1,1
